deviceGroupName,site_name,latitude,longitude
M10209,M10209,13.878994,-89.473111
M11015,M11015,13.78384,-89.399576
M11130,M11130,13.684445,-89.301042
M11307,M11307,13.955686,-89.193213
M11308,M11308,13.956697,-89.185301
M11314,M11314,13.945214,-89.187689
M70001,M70001,13.963686,-89.196535
M10123,M10123,13.972005,-89.175417
M11317,M11317,13.798889,-89.177502
M11319,M11319,13.800573,-89.163139
M11321,M11321,13.81117,-89.178168
M11323,M11323,13.788256,-89.178512
M11327,M11327,13.820045,-89.19042
M11330,M11330,13.804144,-89.181574
M11331,M11331,13.795033,-89.187344
M11336,M11336,13.813181,-89.170438
M11337,M11337,13.817594,-89.181067
M11338,M11338,13.811828,-89.181355
M11340,M11340,13.814597,-89.186678
M11342,M11342,13.80046,-89.170009
M11343,M11343,13.803091,-89.167548
M11344,M11344,13.80363,-89.18179
M11349,M11349,13.80597,-89.194629
M11351,M11351,13.809694,-89.173297
M13671,M13671,13.817345,-89.180361
M86394,M86394,13.79949,-89.207868
M88036,M88036,13.801408,-89.17843337
M11353,M11353,13.735026,-89.200835
M11354,M11354,13.734303,-89.204204
M11364,M11364,13.72276,-89.177279
M11365,M11365,13.732057,-89.181286
M11367,M11367,13.769183,-89.18413
M11369,M11369,13.781339,-89.18394
M11370,M11370,13.733557,-89.183229
M14812,M14812,13.787207,-89.186424
M70093,M70093,13.768344,-89.17568
M86332,M86332,13.770677,-89.181603
M86389,M86389,13.761914,-89.17307
M90053,M90053,13.784216,-89.184816
M11385,M11385,13.922065,-89.184635
M11386,M11386,13.873527,-89.168884
M11389,M11389,13.688469,-89.130637
M11390,M11390,13.713377,-89.097264
M11394,M11394,13.712139,-89.086065
M11395,M11395,13.705475,-89.10436
M11400,M11400,13.707955,-89.099632
M11406,M11406,13.715608,-89.092844
M11409,M11409,13.689434,-89.132155
M11411,M11411,13.689543,-89.128838
M11531,M11531,13.698603,-89.105629
M14808,M14808,13.688507,-89.130658
M11414,M11414,13.734279,-89.192068
M11420,M11420,13.727501,-89.20407
M11422,M11422,13.72744,-89.20462
